x,y
-56.745537,39.554966
-50.269737,38.34742
-54.576332,43.35788
-43.55974,37.26901
-47.871113,42.229942
-52.223465,47.478893
-36.639736,36.331223
-40.93305,41.231804
-29.537415,35.545204
-33.788315,40.375725
-38.122963,45.51282
-45.288857,46.43057
-49.68695,51.918007
-42.522972,50.949318
-46.966778,56.67521
-22.283926,34.921204
-26.467077,39.67347
-14.913641,34.468002
-19.003407,39.135685
-23.215942,44.120827
-7.4636602,34.192425
-11.434928,38.771164
0.02691229,34.098747
-3.802126,38.586258
-7.784172,43.39501
-15.545429,43.67002
-19.784771,48.887466
-11.911648,48.52452
-16.174614,53.97364
-39.57347,55.78618
-44.06295,61.750526
-31.952896,55.02964
-36.44036,60.94117
-40.97547,67.143936
-24.139662,54.420807
-28.593132,60.265533
-20.559969,59.74012
-25.050442,65.81984
-40.97547,67.143936
-33.123653,66.41429
-37.70433,72.85544
-25.050442,65.81983
-29.623379,72.20554
-34.249542,78.88505
7.5179195,34.18848
3.8526454,38.584282
14.969189,34.46019
11.486371,38.76528
7.8316517,43.39108
22.341587,34.909626
19.056667,39.12599
29.597961,35.53005
26.522999,39.66014
23.267294,44.109337
15.59438,43.662235
11.956409,48.518646
19.83162,48.87784
16.217049,53.96589
36.703873,36.312683
33.84767,40.358967
43.6281,37.247314
40.996532,41.211853
38.181583,45.494614
50.342888,38.322823
47.939335,42.20706
56.82395,39.52771
54.649807,43.332336
52.292007,47.45506
45.352158,46.40941
42.58135,50.929874
49.750553,51.89588
47.025444,56.654804
24.184872,54.409443
20.60056,59.730583
32.001823,55.014942
28.637241,60.252594
25.08976,65.80867
39.626926,55.76846
36.4889,60.925167
44.116676,61.73183
41.02426,67.126945
25.08976,65.80867
33.167286,66.40001
29.662106,72.19299
41.02426,67.126945
37.748188,72.840164
34.28846,78.87148
-25.939566,78.31496
-30.611092,85.23276
-25.939568,78.31496
-17.417557,77.88411
-22.072273,84.74255
-26.788992,91.89857
-8.742615,77.61413
-13.328525,84.39446
0.013226942,77.52086
-4.4508743,84.21219
-9.059312,91.22406
-18.021599,91.48838
-22.783232,98.88247
-13.787733,98.55251
-18.593815,106.18447
8.769946,77.61022
4.47416,84.21022
17.447426,77.87653
13.353784,84.388725
9.080097,91.220184
25.973398,78.30414
22.101225,84.733475
25.9734,78.30414
30.645075,85.2209
26.818033,91.88842
18.045694,91.48105
13.80701,98.54694
22.807339,98.87404
18.612988,106.17775
-18.593815,106.18446
-9.371094,105.9351
-14.220737,113.804565
0.0063849967,105.84348
-4.7728004,113.63651
-9.66399,121.74275
9.385628,105.93132
4.782764,113.63458
18.612986,106.17775
14.234977,113.79956
9.673303,121.73946
-9.66399,121.742744
0.0029640566,121.657684
-4.923516,129.99898
9.673302,121.739456
4.9279275,129.99742
0.00045357566,138.55428
