x,y
-1.2500021,136.39899
1.2499979,136.39899
-0.0000021122396,138.56406
-0.000002026558,134.23392
2.499998,134.23392
1.249998,136.39899
-2.500002,134.23392
-1.250002,136.39899
1.2499981,132.06886
3.749998,132.06886
2.499998,134.23393
2.499998,129.9038
4.999998,129.9038
-0.0000019073486,129.9038
-3.750002,132.06886
-1.2500019,132.06886
-2.500002,134.23393
-2.500002,129.9038
-5.000002,129.9038
3.749998,127.73873
6.249998,127.73873
4.999998,125.57367
7.499998,125.57367
2.499998,125.57367
6.874998,124.49114
8.124998,124.49114
7.499998,125.57368
7.499998,123.40861
8.749998,123.40861
6.249998,123.40861
8.124998,122.32608
9.374998,122.32608
8.749998,123.408615
8.749998,121.243546
9.999998,121.243546
7.499998,121.243546
5.624998,122.32608
6.874998,122.32608
6.249998,123.408615
6.249998,121.243546
4.999998,121.243546
1.2499981,123.40861
3.749998,123.40861
2.499998,121.243546
-0.0000019073486,121.243546
-6.250002,127.73873
-3.750002,127.73873
-5.000002,125.57367
-2.500002,125.57367
-7.500002,125.57367
-3.750002,123.40861
-1.2500019,123.40861
-2.500002,121.243546
-5.000002,121.243546
-8.750002,123.40861
-6.250002,123.40861
-7.500002,121.243546
-10.000002,121.243546
9.374998,120.16102
10.624998,120.16102
9.999998,121.24355
9.999998,119.07848
11.249998,119.07848
8.749998,119.07848
10.624998,117.99596
11.874998,117.99596
11.249998,119.07849
11.249998,116.91342
12.499998,116.91342
9.999998,116.91342
8.124998,117.99596
9.374998,117.99596
8.749998,119.07849
8.749998,116.91342
7.499998,116.91342
11.874998,115.830894
13.124998,115.830894
12.499998,116.91343
12.499998,114.74836
13.749998,114.74836
11.249998,114.74836
13.124998,113.66583
14.374998,113.66583
13.749998,114.74837
13.749998,112.5833
14.999998,112.5833
12.499998,112.5833
10.624998,113.66583
11.874998,113.66583
11.249998,114.74837
11.249998,112.5833
9.999998,112.5833
6.874998,115.830894
8.124998,115.830894
7.499998,116.91343
7.499998,114.74836
8.749998,114.74836
6.249998,114.74836
8.124998,113.66583
9.374998,113.66583
8.749998,114.74837
8.749998,112.5833
7.499998,112.5833
5.624998,113.66583
6.874998,113.66583
6.249998,114.74837
6.249998,112.5833
4.999998,112.5833
14.374998,111.50076
15.624998,111.50076
14.999998,110.41823
16.249998,110.41823
13.749998,110.41823
15.624998,109.3357
16.874998,109.3357
16.249998,110.418236
16.249998,108.25317
17.499998,108.25317
14.999998,108.25317
13.124998,109.3357
14.374998,109.3357
13.749998,110.418236
13.749998,108.25317
12.499998,108.25317
16.874998,107.17064
18.124998,107.17064
17.499998,108.253174
17.499998,106.088104
18.749998,106.088104
16.249998,106.088104
18.124998,105.00558
19.374998,105.00558
18.749998,106.08811
18.749998,103.92304
19.999998,103.92304
17.499998,103.92304
15.624998,105.00558
16.874998,105.00558
16.249998,106.08811
16.249998,103.92304
14.999998,103.92304
11.874998,107.17064
13.124998,107.17064
12.499998,108.253174
12.499998,106.088104
13.749998,106.088104
11.249998,106.088104
13.124998,105.00558
14.374998,105.00558
13.749998,106.08811
13.749998,103.92304
12.499998,103.92304
10.624998,105.00558
11.874998,105.00558
11.249998,106.08811
11.249998,103.92304
9.999998,103.92304
4.374998,111.50076
5.624998,111.50076
4.999998,110.41823
6.249998,110.41823
3.749998,110.41823
5.624998,109.3357
6.874998,109.3357
6.249998,110.418236
6.249998,108.25317
7.499998,108.25317
4.999998,108.25317
3.124998,109.3357
4.374998,109.3357
3.749998,110.418236
3.749998,108.25317
2.499998,108.25317
6.874998,107.17064
8.124998,107.17064
7.499998,108.253174
7.499998,106.088104
8.749998,106.088104
6.249998,106.088104
8.124998,105.00558
9.374998,105.00558
8.749998,106.08811
8.749998,103.92304
7.499998,103.92304
5.624998,105.00558
6.874998,105.00558
6.249998,106.08811
6.249998,103.92304
4.999998,103.92304
1.8749981,107.17064
3.124998,107.17064
2.499998,108.253174
2.499998,106.088104
3.749998,106.088104
1.2499981,106.088104
3.124998,105.00558
4.374998,105.00558
3.749998,106.08811
3.749998,103.92304
2.499998,103.92304
0.6249981,105.00558
1.8749981,105.00558
1.2499981,106.08811
1.2499981,103.92304
-0.0000019073486,103.92304
-10.625002,120.16102
-9.375002,120.16102
-10.000002,121.24355
-10.000002,119.07848
-8.750002,119.07848
-11.250002,119.07848
-9.375002,117.99596
-8.125002,117.99596
-8.750002,119.07849
-8.750002,116.91342
-7.500002,116.91342
-10.000002,116.91342
-11.875002,117.99596
-10.625002,117.99596
-11.250002,119.07849
-11.250002,116.91342
-12.500002,116.91342
-8.125002,115.830894
-6.875002,115.830894
-7.500002,116.91343
-7.500002,114.74836
-6.250002,114.74836
-8.750002,114.74836
-6.875002,113.66583
-5.625002,113.66583
-6.250002,114.74837
-6.250002,112.5833
-5.000002,112.5833
-7.500002,112.5833
-9.375002,113.66583
-8.125002,113.66583
-8.750002,114.74837
-8.750002,112.5833
-10.000002,112.5833
-13.125002,115.830894
-11.875002,115.830894
-12.500002,116.91343
-12.500002,114.74836
-11.250002,114.74836
-13.750002,114.74836
-11.875002,113.66583
-10.625002,113.66583
-11.250002,114.74837
-11.250002,112.5833
-12.500002,112.5833
-14.375002,113.66583
-13.125002,113.66583
-13.750002,114.74837
-13.750002,112.5833
-15.000002,112.5833
-5.625002,111.50076
-4.375002,111.50076
-5.000002,110.41823
-3.750002,110.41823
-6.250002,110.41823
-4.375002,109.3357
-3.125002,109.3357
-3.750002,110.418236
-3.750002,108.25317
-2.500002,108.25317
-5.000002,108.25317
-6.875002,109.3357
-5.625002,109.3357
-6.250002,110.418236
-6.250002,108.25317
-7.500002,108.25317
-3.125002,107.17064
-1.8750019,107.17064
-2.500002,108.253174
-2.500002,106.088104
-1.2500019,106.088104
-3.750002,106.088104
-1.8750019,105.00558
-0.6250019,105.00558
-1.2500019,106.08811
-1.2500019,103.92304
-2.500002,103.92304
-4.375002,105.00558
-3.125002,105.00558
-3.750002,106.08811
-3.750002,103.92304
-5.000002,103.92304
-8.125002,107.17064
-6.875002,107.17064
-7.500002,108.253174
-7.500002,106.088104
-6.250002,106.088104
-8.750002,106.088104
-6.875002,105.00558
-5.625002,105.00558
-6.250002,106.08811
-6.250002,103.92304
-7.500002,103.92304
-9.375002,105.00558
-8.125002,105.00558
-8.750002,106.08811
-8.750002,103.92304
-10.000002,103.92304
-15.625002,111.50076
-14.375002,111.50076
-15.000002,110.41823
-13.750002,110.41823
-16.250002,110.41823
-14.375002,109.3357
-13.125002,109.3357
-13.750002,110.418236
-13.750002,108.25317
-12.500002,108.25317
-15.000002,108.25317
-16.875002,109.3357
-15.625002,109.3357
-16.250002,110.418236
-16.250002,108.25317
-17.500002,108.25317
-13.125002,107.17064
-11.875002,107.17064
-12.500002,108.253174
-12.500002,106.088104
-11.250002,106.088104
-13.750002,106.088104
-11.875002,105.00558
-10.625002,105.00558
-11.250002,106.08811
-11.250002,103.92304
-12.500002,103.92304
-14.375002,105.00558
-13.125002,105.00558
-13.750002,106.08811
-13.750002,103.92304
-15.000002,103.92304
-18.125002,107.17064
-16.875002,107.17064
-17.500002,108.253174
-17.500002,106.088104
-16.250002,106.088104
-18.750002,106.088104
-16.875002,105.00558
-15.625002,105.00558
-16.250002,106.08811
-16.250002,103.92304
-17.500002,103.92304
-19.375002,105.00558
-18.125002,105.00558
-18.750002,106.08811
-18.750002,103.92304
-20.000002,103.92304
19.374998,102.840515
20.624998,102.840515
19.999998,103.92305
19.999998,101.75798
21.249998,101.75798
18.749998,101.75798
20.624998,100.67545
21.874998,100.67545
21.249998,101.75799
21.249998,99.59292
22.499998,99.59292
19.999998,99.59292
18.124998,100.67545
19.374998,100.67545
18.749998,101.75799
18.749998,99.59292
17.499998,99.59292
21.874998,98.51039
23.124998,98.51039
22.499998,99.592926
22.499998,97.42786
23.749998,97.42786
21.249998,97.42786
23.124998,96.34533
24.374998,96.34533
23.749998,97.427864
23.749998,95.262794
24.999998,95.262794
22.499998,95.262794
20.624998,96.34533
21.874998,96.34533
21.249998,97.427864
21.249998,95.262794
19.999998,95.262794
16.874998,98.51039
18.124998,98.51039
17.499998,99.592926
17.499998,97.42786
18.749998,97.42786
16.249998,97.42786
18.124998,96.34533
19.374998,96.34533
18.749998,97.427864
18.749998,95.262794
17.499998,95.262794
15.624998,96.34533
16.874998,96.34533
16.249998,97.427864
16.249998,95.262794
14.999998,95.262794
24.374998,94.18026
25.624998,94.18026
24.999998,93.097725
26.249998,93.097725
23.749998,93.097725
25.624998,92.0152
26.874998,92.0152
26.249998,93.09773
26.249998,90.93266
27.499998,90.93266
24.999998,90.93266
23.124998,92.0152
24.374998,92.0152
23.749998,93.09773
23.749998,90.93266
22.499998,90.93266
26.874998,89.850136
28.124998,89.850136
27.499998,90.93267
27.499998,88.7676
28.749998,88.7676
26.249998,88.7676
28.124998,87.685074
29.374998,87.685074
28.749998,88.76761
28.749998,86.60254
29.999998,86.60254
27.499998,86.60254
25.624998,87.685074
26.874998,87.685074
26.249998,88.76761
26.249998,86.60254
24.999998,86.60254
21.874998,89.850136
23.124998,89.850136
22.499998,90.93267
22.499998,88.7676
23.749998,88.7676
21.249998,88.7676
23.124998,87.685074
24.374998,87.685074
23.749998,88.76761
23.749998,86.60254
22.499998,86.60254
20.624998,87.685074
21.874998,87.685074
21.249998,88.76761
21.249998,86.60254
19.999998,86.60254
14.374998,94.18026
15.624998,94.18026
14.999998,93.097725
16.249998,93.097725
13.749998,93.097725
15.624998,92.0152
16.874998,92.0152
16.249998,93.09773
16.249998,90.93266
17.499998,90.93266
14.999998,90.93266
13.124998,92.0152
14.374998,92.0152
13.749998,93.09773
13.749998,90.93266
12.499998,90.93266
16.874998,89.850136
18.124998,89.850136
17.499998,90.93267
17.499998,88.7676
18.749998,88.7676
16.249998,88.7676
18.124998,87.685074
19.374998,87.685074
18.749998,88.76761
18.749998,86.60254
17.499998,86.60254
15.624998,87.685074
16.874998,87.685074
16.249998,88.76761
16.249998,86.60254
14.999998,86.60254
11.874998,89.850136
13.124998,89.850136
12.499998,90.93267
12.499998,88.7676
13.749998,88.7676
11.249998,88.7676
13.124998,87.685074
14.374998,87.685074
13.749998,88.76761
13.749998,86.60254
12.499998,86.60254
10.624998,87.685074
11.874998,87.685074
11.249998,88.76761
11.249998,86.60254
9.999998,86.60254
29.374998,85.520004
30.624998,85.520004
29.999998,84.43747
31.249998,84.43747
28.749998,84.43747
30.624998,83.35494
31.874998,83.35494
31.249998,84.43748
31.249998,82.27241
32.5,82.27241
29.999998,82.27241
28.124998,83.35494
29.374998,83.35494
28.749998,84.43748
28.749998,82.27241
27.499998,82.27241
31.875,81.18988
33.125,81.18988
32.5,82.272415
32.5,80.107346
33.75,80.107346
31.25,80.107346
33.125,79.02482
34.375,79.02482
33.75,80.10735
33.75,77.94228
35,77.94228
32.5,77.94228
30.625,79.02482
31.875,79.02482
31.25,80.10735
31.25,77.94228
30,77.94228
26.874998,81.18988
28.124998,81.18988
27.499998,82.272415
27.499998,80.107346
28.749998,80.107346
26.249998,80.107346
28.124998,79.02482
29.374998,79.02482
28.749998,80.10735
28.749998,77.94228
29.999998,77.94228
27.499998,77.94228
25.624998,79.02482
26.874998,79.02482
26.249998,80.10735
26.249998,77.94228
24.999998,77.94228
34.375,76.85975
35.625,76.85975
35,75.777214
36.25,75.777214
33.75,75.777214
35.625,74.69469
36.875,74.69469
36.25,75.77722
36.25,73.61215
37.5,73.61215
35,73.61215
33.125,74.69469
34.375,74.69469
33.75,75.77722
33.75,73.61215
32.5,73.61215
36.875,72.529625
38.125,72.529625
37.5,73.61216
37.5,71.44709
38.75,71.44709
36.25,71.44709
38.125,70.36456
39.375,70.36456
38.75,71.4471
38.75,69.28203
40,69.28203
37.5,69.28203
35.625,70.36456
36.875,70.36456
36.25,71.4471
36.25,69.28203
35,69.28203
31.875,72.529625
33.125,72.529625
32.5,73.61216
32.5,71.44709
33.75,71.44709
31.25,71.44709
33.125,70.36456
34.375,70.36456
33.75,71.4471
33.75,69.28203
32.5,69.28203
30.625,70.36456
31.875,70.36456
31.25,71.4471
31.25,69.28203
30,69.28203
24.374998,76.85975
25.624998,76.85975
24.999998,75.777214
26.249998,75.777214
23.749998,75.777214
25.624998,74.69469
26.874998,74.69469
26.249998,75.77722
26.249998,73.61215
27.499998,73.61215
24.999998,73.61215
23.124998,74.69469
24.374998,74.69469
23.749998,75.77722
23.749998,73.61215
22.499998,73.61215
26.874998,72.529625
28.124998,72.529625
27.499998,73.61216
27.499998,71.44709
28.749998,71.44709
26.249998,71.44709
28.124998,70.36456
29.374998,70.36456
28.749998,71.4471
28.749998,69.28203
29.999998,69.28203
27.499998,69.28203
25.624998,70.36456
26.874998,70.36456
26.249998,71.4471
26.249998,69.28203
24.999998,69.28203
21.874998,72.529625
23.124998,72.529625
22.499998,73.61216
22.499998,71.44709
23.749998,71.44709
21.249998,71.44709
23.124998,70.36456
24.374998,70.36456
23.749998,71.4471
23.749998,69.28203
22.499998,69.28203
20.624998,70.36456
21.874998,70.36456
21.249998,71.4471
21.249998,69.28203
19.999998,69.28203
9.374998,85.520004
10.624998,85.520004
9.999998,84.43747
11.249998,84.43747
8.749998,84.43747
10.624998,83.35494
11.874998,83.35494
11.249998,84.43748
11.249998,82.27241
12.499998,82.27241
9.999998,82.27241
8.124998,83.35494
9.374998,83.35494
8.749998,84.43748
8.749998,82.27241
7.499998,82.27241
11.874998,81.18988
13.124998,81.18988
12.499998,82.272415
12.499998,80.107346
13.749998,80.107346
11.249998,80.107346
13.124998,79.02482
14.374998,79.02482
13.749998,80.10735
13.749998,77.94228
14.999998,77.94228
12.499998,77.94228
10.624998,79.02482
11.874998,79.02482
11.249998,80.10735
11.249998,77.94228
9.999998,77.94228
6.874998,81.18988
8.124998,81.18988
7.499998,82.272415
7.499998,80.107346
8.749998,80.107346
