x,y
-101.147705,0
-88.12219,0
-94.63495,11.280427
-74.83568,0
-81.478935,11.506459
-94.67537,11.350437
-81.569016,11.350437
-88.12219,22.700874
-76.05298,0
-61.046844,0
-68.54991,12.995693
-45.03763,0
-53.042236,13.864389
-68.735756,13.317589
-53.35793,13.317589
-61.046844,26.635178
-88.58957,22.988604
-75.12111,22.988604
-81.85534,34.65263
-61.183823,22.988604
-68.152466,35.058647
-81.887085,34.707615
-68.35513,34.707615
-75.12111,46.42663
-63.15941,0
-37.47631,0
-50.31786,22.242214
-7.895936,0
-22.686123,25.617353
-50.818787,23.10984
-24.133837,23.10984
-37.47631,46.21968
-32.872967,0
12.003925,0
-10.434521,38.864525
49.459343,0
30.731634,32.43734
-6.5996923,32.22241
30.60754,32.22241
12.003924,64.44482
-41.49083,37.754375
-15.579213,37.754375
-28.53502,60.19449
11.656989,37.754375
-1.961112,61.341618
-27.684238,58.72089
-3.4741888,58.72089
-15.579213,79.68741
-77.05992,46.093193
-63.092518,46.093193
-70.07622,58.189316
-63.092514,46.093193
-48.694977,46.093193
-55.893745,58.56183
-70.05015,58.144165
-56.134884,58.144165
-63.092514,70.19514
-50.72431,46.093193
-34.565857,46.093193
-42.645084,60.086826
-17.692848,46.093193
-26.129353,60.705647
-42.446148,59.742256
-26.685566,59.742256
-34.565857,73.39132
-62.962173,69.47904
-49.36,69.47904
-56.161087,81.258865
-35.557938,69.47904
-42.45897,81.431984
-56.12188,81.190956
-42.59812,81.190956
-49.36,92.90287
-49.459343,0
-12.003925,0
-30.731634,32.43734
32.872967,0
10.434521,38.864525
-30.607544,32.22241
6.5996904,32.22241
-12.003926,64.44482
7.895936,0
37.47631,0
22.686123,25.617353
63.15941,0
50.31786,22.242214
24.133837,23.10984
50.818787,23.10984
37.47631,46.21968
-11.656991,37.754375
15.579211,37.754375
1.9611101,61.341618
41.490826,37.754375
28.535019,60.19449
3.474187,58.72089
27.684235,58.72089
15.579211,79.68741
45.03763,0
61.046844,0
53.042236,13.864389
76.05298,0
68.54991,12.995693
53.35793,13.317589
68.735756,13.317589
61.046844,26.635178
74.83568,0
88.12219,0
81.478935,11.506459
101.147705,0
94.63495,11.280427
81.569016,11.350437
94.67537,11.350437
88.12219,22.700874
61.183823,22.988604
75.12111,22.988604
68.152466,35.058647
88.58957,22.988604
81.85534,34.65263
68.35513,34.707615
81.887085,34.707615
75.12111,46.42663
17.692848,46.093193
34.565857,46.093193
26.129353,60.705647
50.72431,46.093193
42.645084,60.086826
26.685566,59.742256
42.446148,59.742256
34.565857,73.39132
48.694977,46.093193
63.092514,46.093193
55.893745,58.56183
63.092518,46.093193
77.05992,46.093193
70.07622,58.189316
56.134884,58.144165
70.05015,58.144165
63.092514,70.19514
35.557938,69.47904
49.36,69.47904
42.45897,81.431984
62.962173,69.47904
56.161087,81.258865
42.59812,81.190956
56.12188,81.190956
49.36,92.90287
-44.71854,73.53134
-33.248905,73.53134
-38.983723,83.46433
-21.649513,73.53134
-27.44921,83.576706
-38.919147,83.35249
-27.578663,83.35249
-33.248905,93.173645
-22.440788,73.53134
-10.523042,73.53134
-16.481915,83.85241
-10.523043,73.53134
1.4562435,73.53134
-4.5333996,83.90571
-16.348694,83.621666
-4.6973915,83.621666
-10.523043,93.71199
-33.004776,92.601295
-21.986439,92.601295
-27.495607,102.143456
-10.951115,92.601295
-16.468777,102.158165
-27.49146,102.13628
-16.481417,102.13628
-21.986439,111.67126
-1.4562473,73.53134
10.523039,73.53134
4.533396,83.90571
10.523038,73.53134
22.440784,73.53134
16.48191,83.85241
4.6973877,83.621666
16.34869,83.621666
10.523039,93.71199
21.64951,73.53134
33.2489,73.53134
27.449205,83.576706
44.718536,73.53134
38.98372,83.46433
27.57866,83.35249
38.919144,83.35249
33.2489,93.173645
10.951111,92.601295
21.986435,92.601295
16.468773,102.158165
33.004772,92.601295
27.495604,102.143456
16.481413,102.13628
27.491457,102.13628
21.986435,111.67126
-21.226673,110.29701
-10.613338,110.29701
-15.920006,119.488434
-10.6133375,110.29701
-0.0000019073486,110.29701
-5.3066697,119.488434
-10.6133375,128.67986
10.613334,110.29701
5.306666,119.488434
10.613335,110.29701
21.22667,110.29701
15.920002,119.488434
10.613334,128.67986
-10.6133375,128.67984
-0.0000019073486,128.67984
-5.3066697,137.87126
10.613334,128.67984
5.306666,137.87126
-0.0000021350388,147.06268
